city,full_address,longitude,name,review_count,stars,state,type
,"4734 Lebanon Church Rd Dravosburg, PA 15034",-79.9007057,Mr Hoagie,4,4.5,PA,business
Dravosburg,"202 McClure St Dravosburg, PA 15034",-79.8868138,Clancy's Pub,,3.5,,
Dravosburg,"1 Ravine St Dravosburg, PA 15034",-79.889059,Joe Cislo's Auto,3,5.0,,business
Bethel Park,,-80.0146597,,5,3.5,,business
Pittsburgh,"301 South Hills Village Pittsburgh, PA 15241",-80.05998,Verizon,,3.5,,
rankin,"414 Hawkins Ave rankin, PA 15104",-79.8802474,Emil's Lounge,20,5.0,,business
,"2101 Greentree Rd Ste B201 Pittsburgh, PA 15220",-80.0708968,Extreme Fitness 2,,2.5,,business
Carnegie,"141 Hawthorne St Greentree Carnegie, PA 15106",-80.067534,Alexion's Bar & Grill,21,4.0,,business
Carnegie,,,Flynn's Tire And Auto Service,,2.5,,
Carnegie,"920 Forsythe Rd Carnegie Carnegie, PA 15106",-80.0762665,,4,2.0,,business
,"8 Logan St Carnegie Carnegie, PA 15106",-80.0903575,Quaker State Construction,3,2.5,,
Pittsburgh,"2080 Greentree Rd Pittsburgh, PA 15220",-80.0691338,Greentree Animal Clinic,5,4.0,,business
Carnegie,"300 Beechwood Ave Carnegie Carnegie, PA 15106",-80.0858661,,,4.5,PA,business
Carnegie,"1011 Washington Ave Carnegie, PA 15106",-80.0824517,Advance Auto Parts,3,2.0,,business
,"2100 Washington Pike Carnegie, PA 15106",-80.0932152,Kings Family Restaurant,8,2.0,,business
Carnegie,"2100 Washington Pike Carnegie, PA 15106",-80.0932152,Shop N' Save,,4.0,,
Carnegie,,,Rossi Tailoring & Cleaners,3,3.0,,business
Carnegie,,-80.089241,Heidelberg B P,4,3.0,,business
Carnegie,"1201 Washington Ave Carnegie, PA 15106",-80.0849416,Rocky's Lounge,7,4.0,,business
Carnegie,"1073 Washington Ave Carnegie, PA 15106",-80.0833859,Gab & Eat,58,4.5,,business
